author,img_link,price,title
Dr. Seuss,https://m.media-amazon.com/images/I/610NPgmUuKL._AC_UY218_.jpg,$26.47,Dr. Seuss's Beginner Book Boxed Set Collection: The Cat in the Hat; One Fish Two Fish Red Fish Blue Fish; Green Eggs and Ham; Hop on Pop; Fox in Socks
Wonder House Books,https://m.media-amazon.com/images/I/711c-uf6AFL._AC_UY218_.jpg,$16.43,My First Library: Boxset of 10 Board Books for Kids
"Adam Wallace, Andy Elkerton",https://m.media-amazon.com/images/I/81qFXvsZ2sL._AC_UY218_.jpg,$7.36,How to Catch a Leprechaun: A Saint Patrick's Day Book for Kids
"Adam Rubin, Daniel Salmieri",https://m.media-amazon.com/images/I/91zbMm3woDL._AC_UY218_.jpg,$9.95,Dragons Love Tacos
Emma Greene,https://m.media-amazon.com/images/I/613znXUaEWL._AC_UY218_.jpg,$10.90,"How To Draw Everything: 300 Drawings of Cute Stuff, Animals, Food, Gifts, and other Amazing Things | Book For Kids"
Unknown Author,https://m.media-amazon.com/images/I/71OnjtKLWfL._AC_UY218_.jpg,$11.99,Sesame Street Elmo Manners Books for Kids Toddlers - Set of 8 Manners Books
Unknown Author,https://m.media-amazon.com/images/I/81aIPvkF6bL._AC_UY218_.jpg,$9.88,Melissa & Doug Children's Book - Poke-a-Dot: Old MacDonaldâ€™s Farm (Board Book with Buttons to Pop) - FSC Certified
Shel Silverstein,https://m.media-amazon.com/images/I/71wiGMKadmL._AC_UY218_.jpg,$10.98,The Giving Tree
Mary Pope Osborne,https://m.media-amazon.com/images/I/81+eUNewtwL._AC_UY218_.jpg,$14.98,"Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates Past Noon"
Sally Hopgood,https://m.media-amazon.com/images/I/71Aj3RpT9rL._AC_UY218_.jpg,$14.42,"See You Later, Alligator"
Unknown Author,https://m.media-amazon.com/images/I/81EGxbzPZ4L._AC_UY218_.jpg,$23.99,"24 Pack Small Coloring Books for Kids Ages 4-8, 2-4 - Bulk Coloring Bundle Classroom Rewards, Prizes, PreK Kindergarten Party Favors with Disney, Nick, More | Mini Activity Books for Boys, Girls"
"Marilyn Sadler, Roger Bollen",https://m.media-amazon.com/images/I/71ihGxMQEBL._AC_UY218_.jpg,$5.98,It's Not Easy Being a Bunny: An Early Reader Book for Kids (Beginner Books)
Barbara Park,https://m.media-amazon.com/images/I/712o1KVI2NL._AC_UY218_.jpg,$11.49,Junie B. Jones's First Boxed Set Ever! (Books 1-4)
"Bill Martin Jr., John Archambault",https://m.media-amazon.com/images/I/51WABgZmdWL._AC_UY218_.jpg,$4.30,Chicka Chicka Boom Boom (Board Book)
Laura Numeroff,https://m.media-amazon.com/images/I/813csV5cPqL._AC_UY218_.jpg,$10.99,If You Give a Mouse a Cookie
Carole P. Roman,https://m.media-amazon.com/images/I/81AgoOPzO6L._AC_UY218_.jpg,$5.99,The Big Book of Silly Jokes for Kids
